5350370.01,7985,515,1045,610,850
5350370.02,3980,345,440,295,290
5350370.03,3085,230,390,180,335
5350371,5695,325,640,465,370
5350372,3660,220,385,305,260
5350373,3890,185,430,275,325
5350374.01,4095,250,610,295,370
5350374.02,2870,190,410,225,240
5350374.03,3650,280,515,200,380
5350375.01,5315,285,655,455,585
5350375.02,1615,80,125,185,85
5350375.03,4380,320,680,295,620
5350375.04,4685,325,745,355,410
5350375.05,5905,420,900,330,500
5350376.01,4435,390,770,280,610
5350376.02,4385,400,640,390,485
5350376.04,4295,330,665,315,385
5350376.05,6320,400,1185,785,520
5350376.06,370,0,0,0,65
5350376.08,5510,400,885,390,480
5350376.09,4285,255,670,320,485
5350376.11,2855,275,590,180,295
5350376.12,4810,325,660,230,425
5350376.13,3495,255,420,275,385
5350376.14,3275,305,600,300,250
5350376.15,3590,170,500,345,415
5350376.16,2635,200,365,230,195
5350377.01,5790,365,825,615,570
5350377.02,4130,275,555,335,335
5350377.03,2475,160,310,210,245
5350377.04,5205,440,830,420,475
5350377.06,3320,260,695,305,280
5350377.07,4215,270,590,375,460
5350378.02,2750,240,455,230,305
5350378.03,6220,425,910,555,500
5350378.04,4680,405,680,390,455
5350378.05,3330,365,435,260,390
5350378.06,4800,400,770,440,350
5350378.07,5925,390,675,425,590
5350378.08,5640,475,855,455,660
5350378.11,4605,410,570,415,570
5350378.12,4075,280,560,360,420
5350378.14,3335,330,545,315,335
5350378.16,5220,350,780,320,560
5350378.17,2690,285,520,195,250
5350378.18,2390,170,345,210,305
5350378.19,4310,325,695,365,450
5350378.2,1900,150,310,120,280
5350378.21,3115,230,420,275,385
5350378.22,3220,190,470,290,420
5350378.23,3760,235,480,200,435
5350378.24,5350,375,705,420,650
5350378.25,5725,520,705,460,550
5350378.26,3750,245,525,365,305
5350378.27,4370,405,590,330,410
5350378.28,6145,445,815,520,455
5350400.02,5305,300,500,500,430
5350400.03,2555,120,355,195,235
5350400.04,1640,55,130,55,120
5350400.06,2590,165,240,165,190
5350400.07,2835,85,225,165,220
5350400.08,2490,145,235,135,185
5350400.11,5305,460,840,390,575
5350400.12,6275,395,900,390,440
5350400.13,4835,460,720,395,545
5350400.14,5365,400,745,485,690
5350400.15,3980,180,430,220,335
5350400.16,4225,310,480,310,335
5350400.17,3785,405,635,295,405
5350400.18,2290,255,375,210,235
5350400.19,4945,255,440,260,275
5350400.2,1935,105,205,120,100
5350400.21,1610,125,190,105,115
5350400.22,6390,525,770,500,560
5350400.23,6730,700,930,510,530
5350401.04,3145,195,455,255,385
5350401.05,1915,120,410,150,170
5350401.06,4485,330,580,325,320
5350401.07,3455,210,355,260,200
5350401.08,2875,180,405,190,230
5350401.09,7635,610,1300,570,710
5350401.1,4310,285,625,290,300
5350401.11,5960,470,880,555,635
5350401.13,5465,480,910,535,630
5350401.14,7070,505,1055,700,610
5350401.15,2475,100,280,205,190
5350401.17,3290,255,410,275,310
5350401.18,2925,195,425,220,290
5350401.19,5880,440,1020,500,685
5350401.2,4015,340,665,350,510
5350401.21,2640,270,525,170,270
5350401.22,6285,500,1055,420,610
5350401.23,1900,130,280,115,220
5350402.01,2255,65,260,205,150
5350402.02,2920,155,300,240,240
5350402.03,2570,90,255,180,190
5350402.04,4465,230,530,265,375
5350402.05,1910,60,200,90,110
5350402.06,4995,280,610,265,430
5350402.07,1860,130,255,145,125
5350402.08,5700,290,830,445,520
5350402.09,3175,140,365,180,290
5350402.1,3050,140,350,275,165
5350402.12,4045,235,670,255,330
5350402.13,4680,235,645,255,355
5350403.01,6785,530,1000,555,495
5350403.03,8025,475,1050,495,645
5350403.04,3470,280,545,275,280
5350403.05,2635,125,305,190,165
5350403.07,5620,485,915,380,495
5350403.09,4110,375,645,335,405
5350403.1,3845,300,600,310,315
5350403.11,5630,430,840,370,390
5350403.12,4880,340,605,345,265
5350403.13,5045,260,555,265,310
5350403.14,5135,335,785,425,335
5350410.02,3920,220,430,245,370
5350410.03,5975,380,870,445,520
5350410.04,3220,185,435,230,165
5350410.05,5520,365,635,400,355
5350410.07,3190,190,470,210,205
5350410.09,4080,235,430,220,480
5350410.1,3635,180,395,305,340
5350410.11,3195,190,365,315,315
5350410.12,5115,175,590,380,390
5350410.13,5875,380,915,390,300
5350410.14,5345,365,770,375,475
5350410.15,1765,70,185,90,145
5350411.01,4905,240,660,360,320
5350411.04,5160,400,590,300,385
5350411.07,3520,275,400,285,225
5350411.08,1795,110,170,105,145
5350411.09,4940,315,545,310,335
5350411.12,4385,270,535,320,375
5350411.15,3655,285,510,240,190
5350411.16,4510,240,520,235,360
5350411.17,4115,355,455,255,240
5350411.18,5890,415,610,400,305
5350411.19,4180,350,480,180,260
5350411.2,12510,735,1670,745,770
5350411.21,1920,90,185,145,145
5350411.22,4175,340,485,270,435
5350411.23,3165,190,280,185,200
5350411.24,5320,435,635,465,580
5350411.25,2605,175,295,140,205
5350411.26,3910,305,530,260,220
5350411.27,3140,245,350,140,270
5350412.01,5375,270,440,475,370
5350412.02,6265,230,560,425,455
5350412.04,4150,160,400,280,345
5350412.06,3230,110,325,215,210
5350412.08,2400,165,335,205,250
5350412.1,5335,305,630,275,505
5350412.11,3645,195,345,275,275
5350412.12,3460,180,405,230,295
5350412.13,3885,165,395,250,425
5350412.14,2860,180,325,115,155
5350412.15,4580,115,415,275,355
5350412.18,6715,325,545,330,565
5350412.19,7080,430,635,520,525
5350412.2,4310,210,440,300,330
5350412.22,5425,285,540,370,300
5350412.23,8820,595,975,580,640
5350412.24,6020,360,755,430,415
5350413,9490,600,855,555,545
5350420.03,5470,410,630,420,495
5350420.05,5850,370,945,515,560
5350420.06,4645,245,670,430,515
5350420.08,4010,240,460,235,410
5350420.09,3610,165,440,265,405
5350420.1,3080,255,530,235,250
5350420.11,5740,400,730,355,500
5350420.13,4315,205,520,330,340
5350420.14,5650,335,720,505,460
5350420.15,2310,170,435,190,165
5350421.01,5870,280,720,275,440
5350421.04,3285,180,245,190,230
5350421.05,3005,150,430,230,135
5350421.06,3355,250,335,205,325
5350421.07,3585,180,375,250,275
